,url_path,websocket,wasm,hash_function,webworkers,messageloop_load,postmessage_load,parallel_functions,url,label
2133,digicert.com-1702673306661,0,0,0,0,20189,2530,0,digicert.com,0
2135,money.cnn.com-1702729969312,0,0,0,0,64687,5440,0,money.cnn.com,0
2136,webmail-seguro.com.br-1702783327647,0,0,0,0,126118,3350,0,webmail-seguro.com.br,0
2137,magiclen.org-1702726068611,0,0,0,0,33497,3490,0,magiclen.org,0
2138,qwant.com-1702742552657,0,0,0,0,124552,2520,0,qwant.com,0
2139,rtl.lu-1702744812343,0,0,0,0,5296,1890,0,rtl.lu,0
2142,maturskiradovi.net-1702727107346,0,0,0,0,364551,21950,0,maturskiradovi.net,0
2143,get-free-wallpapers.com-1702710526658,0,0,0,0,21339,2930,0,get-free-wallpapers.com,0
2144,cnn.com-1702635462423,0,0,0,0,72716,2480,0,cnn.com,0
2146,tmr247.com-1702776770718,0,0,0,0,6167,2330,0,tmr247.com,0
2147,shauntabatt.com-1702747135467,0,0,0,0,127357,6650,0,shauntabatt.com,0
2148,doubtnut.com-1702687918430,0,0,0,0,150765,17460,0,doubtnut.com,0
2150,wifi.id-1702784258701,0,0,0,0,7410,1720,0,wifi.id,0
2151,exploit-db.com-1702705749215,0,0,0,0,100824,3660,0,exploit-db.com,0
2152,yalls.org-1702788425551,1,0,0,0,108052,7040,0,yalls.org,0
2153,whenregistered.com-1702784134398,0,0,0,0,51753,6210,0,whenregistered.com,0
2154,theanglersforum.co.uk-1702760777010,0,0,0,0,23788,2350,0,theanglersforum.co.uk,0
2155,magyarnarancs.hu-1702726111948,0,0,0,0,19244,2360,0,magyarnarancs.hu,0
2156,lepronos-en-or.blogspot.com-1702724068980,0,0,0,2,169590,19880,0,lepronos-en-or.blogspot.com,0
2159,thingspeak.com-1702776317826,0,0,0,0,19471,2600,0,thingspeak.com,0
2160,couponsplusdeals.com-1702640425338,0,0,0,0,801315,33690,0,couponsplusdeals.com,0
2161,mega.co.nz-1702727673814,0,0,0,0,83933,7750,0,mega.co.nz,0
2162,karasuk.boostmasters.ru-1702721205511,0,0,0,0,59323,3380,0,karasuk.boostmasters.ru,0
2163,mera25.gr-1702728136762,0,0,0,0,20810,1560,0,mera25.gr,0
2164,racing-games.com-1702742616907,0,0,0,0,18689,2450,0,racing-games.com,0
2165,andrewchristian.com-1702618914498,0,0,0,1,198985,6950,0,andrewchristian.com,0
