url_path,websocket,wasm,hash_function,webworkers,messageloop_load,postmessage_load,parallel_functions
jeux-gratuits.com-1702719707074,0,0,0,0,55929,2220,0
autopilothq.com-1702621131926,0,0,0,0,326854,33970,0
epicsizefetish.blogspot.com-1702704992420,0,0,0,0,86500,49560,0
the-hub.net-1702760735582,0,0,0,0,18442,35850,0
bcm.edu-1702626773212,0,0,0,0,247016,11710,0
cleanenergy-project.de-1702635088979,0,0,0,0,170416,9590,0
ultimatemetal.com-1702779406021,0,0,0,0,23342,4460,0
sfgame.pl-1702746695019,0,1,1,0,10658,2350,0
sailthru.com-1702745358357,1,0,0,0,4434,2110,0
unepubdanslagueule.com-1702779742720,0,0,0,0,39475,26670,0
bertjansch.com-1702629258242,0,0,0,0,260436,31830,0
eqhes.info-1702705055841,0,0,0,0,117698,6690,0
kasautiki.com-1702721335445,0,0,0,0,90151,25440,0
bulurum.com-1702632253454,0,0,0,0,125972,27970,0
playro.ru-1702739364463,0,0,0,0,85119,25940,0
www.motorcycle.com__classifieds__motor-1702787089599,0,0,0,0,41082,33590,0
piratepirate.net-1702738760220,0,0,0,0,77443,29870,0
farmhouse.delivery-1702706387572,1,0,0,1,143680,5650,0
musicboxset.co.uk-1702730830915,0,0,0,0,111018,24510,0
miniaturland-treuchtlingen.de-1702728849316,0,0,0,1,177820,5470,1
franklinlandtrust.org-1702708631694,0,0,0,0,164716,8060,0
swahiliwholesale.com-1702751500360,0,0,0,1,23082,2530,0
cricut.com-1702643965474,0,0,0,1,358439,11050,0
azoren-online.com-1702621637708,0,0,0,1,21536,3100,0
saveig.com-1702745772297,0,0,0,0,3807,1570,0
tuscaloosanews.com-1702778320847,0,0,0,1,71768,15450,0
dukesmalibu.com-1702696054334,0,0,0,0,4775,2120,0
emmalinebride.com-1702704711680,0,0,0,1,172091,7740,0
anuncios.es-1702619501179,0,0,0,0,405595,20680,0
breaking911.com-1702631699773,0,0,0,0,121915,5430,0
coin360.com-1702635656277,0,0,0,0,190989,10660,0
clipsyndicate.com-1702635216480,0,0,0,0,7800,40160,0
ipermainan.com-1702718485962,0,0,0,0,19835,2330,0
volunteermatch.org-1702781930811,0,0,0,0,176739,10570,0
arabsexy.com-1702619759285,0,0,0,0,117858,28570,0
gfo.ca-1702710614935,0,0,0,0,461046,36890,0
larashare.net-1702723308570,0,0,0,0,41538,2560,0
wal-mart.com-1702782300132,0,0,0,0,5975,2270,0
clockify.me-1702635357699,0,0,0,0,51656,4130,0
piratebay.town-1702738513346,0,0,0,0,85796,24140,0
delapubenbarre.com-1702663942593,0,0,0,0,61673,18470,0
